,genus,genus_count,effector_count,effectors
0,Homo,2714,49,"1, 4, 7, 11, 12, 14, 15, 17, 19, 21, 22, 23, 24, 29, 30, 32, 35, 38, 40, 41, 43, 46, 47, 50, 55, 57, 58, 60, 64, 65, 66, 70, 71, 73, 74, 76, 77, 78, 79, 81, 82, 85, 90, 91, 92, 93, 94, 95, 100"
13,Drosophila,1514,41,"1, 7, 10, 11, 12, 15, 17, 21, 22, 23, 24, 29, 30, 32, 40, 41, 42, 43, 46, 50, 57, 58, 64, 65, 66, 70, 73, 74, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
3,Escherichia,1174,32,"1, 4, 11, 12, 15, 17, 23, 24, 30, 32, 38, 41, 46, 57, 58, 65, 66, 70, 73, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
4,Mus,1124,43,"0, 1, 4, 5, 7, 11, 12, 14, 15, 21, 23, 24, 29, 30, 32, 35, 38, 40, 42, 43, 46, 50, 57, 58, 65, 66, 70, 72, 73, 76, 77, 78, 79, 81, 82, 85, 90, 91, 92, 93, 94, 95, 100"
2,Pseudomonas,998,37,"1, 4, 7, 11, 12, 15, 17, 19, 21, 22, 24, 30, 32, 38, 39, 40, 41, 57, 58, 65, 66, 70, 73, 76, 77, 78, 79, 81, 82, 85, 90, 91, 92, 93, 94, 95, 100"
5,unclassified,937,40,"1, 7, 11, 12, 15, 17, 21, 22, 23, 24, 29, 30, 32, 35, 38, 39, 41, 43, 46, 50, 55, 57, 58, 64, 66, 70, 73, 76, 77, 78, 79, 81, 82, 85, 90, 92, 93, 94, 95, 100"
7,Arabidopsis,918,41,"1, 7, 10, 11, 12, 15, 16, 17, 21, 22, 23, 24, 30, 32, 35, 38, 42, 43, 46, 50, 57, 58, 64, 65, 66, 70, 73, 74, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
8,Glycine,914,34,"1, 7, 11, 12, 15, 17, 21, 23, 24, 29, 30, 32, 38, 40, 46, 50, 57, 58, 66, 70, 73, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
91,Anopheles,771,37,"1, 7, 10, 11, 12, 15, 17, 22, 23, 24, 29, 30, 32, 38, 40, 41, 43, 46, 50, 57, 58, 65, 70, 73, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
1,Candidatus,753,37,"1, 4, 7, 11, 12, 15, 21, 22, 23, 24, 29, 32, 38, 40, 41, 42, 47, 57, 58, 60, 64, 65, 66, 70, 73, 74, 76, 77, 78, 79, 81, 82, 85, 90, 92, 94, 100"
17,Caenorhabditis,724,40,"1, 4, 7, 11, 12, 15, 17, 19, 21, 23, 24, 29, 30, 32, 38, 40, 42, 43, 46, 50, 57, 58, 60, 65, 66, 70, 73, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
10,Oryza,681,40,"1, 4, 7, 10, 11, 12, 15, 17, 19, 21, 23, 24, 29, 30, 32, 38, 39, 40, 41, 46, 50, 57, 58, 66, 70, 73, 74, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
6,Rattus,674,36,"1, 5, 7, 11, 12, 14, 15, 21, 22, 23, 24, 29, 32, 38, 43, 46, 50, 57, 58, 65, 66, 70, 73, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
191,Timema,654,39,"1, 4, 7, 10, 11, 12, 17, 21, 22, 23, 24, 29, 30, 32, 38, 40, 41, 42, 43, 46, 50, 57, 65, 66, 70, 73, 74, 76, 77, 78, 79, 81, 85, 90, 91, 93, 94, 95, 100"
31,Mycobacterium,616,34,"1, 4, 5, 7, 10, 11, 15, 19, 21, 23, 24, 29, 30, 32, 38, 41, 46, 57, 58, 65, 66, 70, 73, 76, 77, 79, 81, 85, 90, 92, 93, 94, 95, 100"
48,Bacillus,615,33,"0, 1, 2, 4, 7, 11, 15, 22, 23, 24, 29, 32, 38, 39, 40, 46, 57, 58, 64, 66, 70, 73, 76, 79, 81, 82, 85, 90, 92, 93, 94, 95, 100"
21,Streptomyces,566,37,"1, 4, 7, 10, 11, 12, 15, 17, 19, 21, 22, 23, 24, 30, 32, 38, 40, 41, 46, 49, 57, 58, 66, 70, 73, 76, 78, 79, 81, 82, 85, 90, 92, 93, 94, 95, 100"
34,Zea,559,42,"1, 4, 5, 7, 11, 12, 15, 16, 17, 21, 22, 23, 24, 29, 30, 32, 38, 39, 40, 42, 43, 46, 50, 57, 58, 66, 70, 73, 74, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
9,Saccharomyces,478,40,"1, 4, 7, 11, 12, 14, 15, 17, 19, 21, 22, 23, 24, 29, 30, 32, 38, 40, 41, 43, 46, 57, 58, 60, 64, 65, 66, 70, 73, 76, 77, 79, 81, 85, 90, 92, 93, 94, 95, 100"
30,Salmonella,460,27,"1, 4, 11, 15, 23, 24, 32, 41, 46, 57, 58, 65, 66, 70, 73, 76, 77, 79, 81, 82, 85, 90, 92, 93, 94, 95, 100"
35,Aspergillus,444,34,"1, 4, 12, 15, 17, 21, 23, 24, 30, 32, 38, 43, 46, 50, 57, 58, 60, 65, 66, 70, 73, 74, 76, 77, 78, 79, 81, 85, 90, 92, 93, 94, 95, 100"
12,Danio,442,37,"1, 4, 5, 7, 11, 12, 15, 23, 24, 29, 30, 32, 38, 39, 42, 46, 50, 57, 58, 65, 66, 70, 73, 76, 77, 78, 79, 81, 82, 85, 90, 91, 92, 93, 94, 95, 100"
57,Staphylococcus,394,29,"1, 7, 11, 15, 17, 22, 23, 32, 38, 39, 43, 46, 57, 58, 60, 65, 66, 70, 73, 76, 81, 85, 90, 91, 92, 93, 94, 95, 100"
449,Bacteroides,390,22,"1, 7, 11, 15, 23, 24, 32, 38, 57, 58, 66, 70, 73, 76, 79, 81, 85, 90, 92, 93, 94, 100"
11,Streptococcus,385,26,"1, 12, 15, 24, 30, 32, 38, 40, 46, 57, 58, 64, 65, 66, 70, 73, 76, 77, 79, 81, 85, 90, 92, 94, 95, 100"
23,Bos,384,35,"1, 7, 11, 12, 15, 19, 21, 23, 24, 29, 30, 32, 38, 43, 46, 50, 57, 58, 65, 66, 70, 73, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
20,Fonsecaea,358,28,"1, 11, 12, 15, 23, 24, 32, 38, 46, 50, 57, 58, 66, 70, 73, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
14,Trypanosoma,338,38,"1, 2, 11, 12, 14, 15, 17, 19, 21, 22, 24, 29, 30, 32, 38, 39, 43, 46, 50, 57, 58, 65, 66, 70, 73, 74, 76, 79, 81, 82, 85, 90, 91, 92, 93, 94, 95, 100"
69,Strongyloides,320,34,"1, 4, 7, 11, 12, 15, 23, 24, 29, 30, 32, 38, 43, 46, 50, 57, 58, 65, 66, 70, 73, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
43,Cladophialophora,308,30,"1, 4, 11, 12, 15, 21, 24, 32, 38, 46, 50, 57, 58, 65, 66, 70, 73, 76, 77, 78, 79, 81, 82, 85, 90, 92, 93, 94, 95, 100"
89,Burkholderia,307,23,"1, 11, 15, 22, 24, 30, 32, 38, 57, 58, 66, 70, 73, 76, 79, 81, 85, 90, 91, 92, 94, 95, 100"
258,Onchocerca,307,37,"1, 2, 4, 7, 12, 15, 21, 22, 23, 24, 29, 30, 32, 38, 39, 46, 50, 57, 58, 64, 65, 66, 70, 73, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
25,Dictyostelium,305,33,"1, 4, 11, 12, 15, 22, 23, 29, 30, 32, 38, 46, 55, 57, 58, 64, 65, 66, 70, 73, 74, 76, 77, 78, 79, 81, 85, 90, 92, 93, 94, 95, 100"
45,Madurella,292,28,"1, 2, 11, 12, 15, 24, 32, 38, 46, 53, 57, 58, 66, 70, 73, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
32,Sporothrix,279,29,"1, 12, 15, 17, 21, 24, 32, 38, 42, 46, 50, 57, 58, 64, 66, 70, 73, 76, 77, 78, 79, 81, 85, 90, 92, 93, 94, 95, 100"
52,Nocardia,277,25,"1, 11, 12, 15, 24, 30, 32, 41, 46, 47, 50, 57, 66, 70, 73, 76, 79, 81, 85, 90, 92, 93, 94, 95, 100"
695,Aedes,272,32,"1, 7, 10, 11, 12, 17, 22, 23, 29, 30, 32, 41, 46, 50, 57, 58, 65, 66, 70, 73, 76, 77, 78, 79, 81, 90, 91, 92, 93, 94, 95, 100"
44,Trichuris,268,33,"1, 4, 7, 11, 12, 15, 29, 30, 32, 38, 40, 46, 50, 55, 57, 58, 65, 66, 70, 73, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
120,Daphnia,268,34,"1, 7, 10, 11, 12, 15, 17, 22, 23, 29, 30, 32, 38, 41, 43, 46, 50, 54, 57, 65, 66, 70, 73, 76, 77, 78, 79, 81, 90, 91, 93, 94, 95, 100"
50,Klebsiella,255,32,"1, 4, 11, 15, 17, 22, 24, 32, 38, 40, 41, 46, 50, 57, 58, 65, 66, 70, 73, 76, 77, 79, 81, 82, 85, 90, 91, 92, 93, 94, 95, 100"
82,Rotaria,249,29,"1, 4, 7, 11, 15, 19, 22, 24, 29, 32, 38, 40, 43, 46, 50, 55, 57, 58, 65, 66, 70, 76, 79, 81, 82, 90, 92, 94, 100"
27,Schistosoma,241,33,"1, 4, 11, 12, 15, 17, 24, 29, 32, 38, 40, 46, 50, 57, 58, 65, 66, 70, 73, 74, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
363,Aphis,238,38,"1, 2, 4, 5, 7, 10, 12, 15, 16, 17, 21, 23, 29, 30, 31, 32, 41, 46, 50, 57, 58, 60, 64, 66, 70, 73, 76, 77, 78, 79, 81, 85, 91, 92, 93, 94, 95, 100"
936,Spodoptera,227,27,"7, 10, 11, 12, 17, 23, 29, 30, 41, 43, 46, 50, 65, 70, 73, 76, 77, 78, 79, 81, 82, 90, 91, 93, 94, 95, 100"
928,Papilio,225,26,"7, 10, 11, 12, 17, 23, 29, 30, 32, 41, 43, 46, 50, 64, 73, 76, 77, 78, 79, 81, 85, 90, 91, 93, 94, 95"
84,Clostridium,224,26,"1, 4, 15, 21, 24, 30, 32, 38, 40, 41, 57, 58, 64, 65, 66, 70, 73, 76, 79, 81, 85, 92, 93, 94, 95, 100"
80,Wuchereria,222,33,"1, 4, 7, 11, 12, 15, 17, 22, 29, 30, 32, 38, 43, 46, 50, 57, 58, 65, 66, 70, 73, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 100"
16,Schizosaccharomyces,220,27,"1, 11, 12, 15, 17, 21, 24, 29, 32, 42, 46, 57, 58, 65, 66, 70, 73, 76, 79, 81, 85, 90, 92, 93, 94, 95, 100"
556,Glossina,220,34,"1, 7, 10, 11, 12, 15, 17, 21, 22, 23, 24, 29, 30, 32, 41, 43, 46, 50, 57, 65, 66, 70, 73, 76, 77, 78, 79, 81, 90, 91, 92, 93, 94, 95"
375,Mytilus,216,29,"1, 4, 7, 11, 15, 21, 24, 29, 32, 38, 40, 46, 50, 55, 57, 58, 65, 66, 70, 73, 76, 77, 78, 79, 90, 91, 93, 95, 100"
357,Bombyx,213,28,"1, 7, 10, 11, 12, 17, 23, 29, 30, 32, 41, 43, 46, 50, 65, 70, 73, 76, 77, 78, 79, 81, 90, 91, 92, 93, 94, 95"
234,Shewanella,207,23,"1, 11, 22, 24, 32, 38, 41, 57, 58, 65, 66, 70, 73, 76, 77, 81, 85, 90, 92, 93, 94, 95, 100"
18,Dracunculus,207,34,"1, 4, 7, 11, 12, 15, 19, 22, 24, 29, 32, 38, 43, 46, 50, 57, 58, 65, 66, 70, 73, 76, 77, 78, 79, 81, 85, 90, 91, 92, 93, 94, 95, 100"
